GEOID,All,acqhypo,alzdisease,alzdisorders,ami,anemia,arthritis,asthma,atrialfib,breastcancer,cataract,ckd,colorectalcancer,copd,depression,diabetes,endometrial,glaucoma,heartfailure,hipfracture,hyperlipidemia,hyperplasia,hypertension,ihd,lungcancer,osteoporosis,prostatecancer,stroke,year,population_count,median_household_income,supermarket_access_pct,tree_canopy_pct,race_white_pct,race_black_pct,race_asian_pct,race_american_indian_alaskan_native_alone_pct,race_native_hawaiian_pacific_islander_alone_pct,race_other_alone_pct,race_two_or_more_pct,gender_total_male_pct,gender_total_female_pct,age_under_19_pct,age_20_29_pct,age_30_39_pct,age_40_49_pct,age_50_59_pct,age_60_69_pct,age_70_over_pct,above_poverty_pct,employed_pct,bachelors_plus_pct,high_school_enrollment_pct,pre_school_enrollment_pct,health_insurance_pct,medicare_pct,medicaid_pct,owners_pct,habitable_pct,uncrowded_pct,severe_cost_burden_owner_pct,severe_cost_burden_renter_pct,two_parent_pct,vehicle_access_pct,commute_pct,voter_pct,diesel_pm_rank,pm_rank,safe_drinking_water_rank,ozone_rank,park_access_ppa,employment_density,race_white_total,race_black_total,race_asian_total,race_american_indian_alaskan_native_alone_total,race_native_hawaiian_pacific_islander_alone_total,race_other_alone_total,race_two_or_more_total,age_under_19_total,age_20_29_total,age_30_39_total,age_40_49_total,age_50_59_total,age_60_69_total,age_70_over_total,median_household_income_z,supermarket_access_z,tree_canopy_z,above_poverty_z,employed_z,bachelors_plus_z,high_school_enrollment_z,pre_school_enrollment_z,health_insurance_z,owners_z,habitable_z,uncrowded_z,severe_cost_burden_owner_z,severe_cost_burden_renter_z,two_parent_z,vehicle_access_z,commute_z,voter_z,diesel_pm_z,pm_z,safe_drinking_water_z,ozone_z,park_access_ppa_z,employment_density_z,economic_unweighted,education_unweighted,healthcare_unweighted,housing_unweighted,neighborhood_unweighted,environment_unweighted,social_unweighted,transportation_unweighted,cwi_score,cwi_score_rank,economic_unweighted_rank,education_unweighted_rank,healthcare_unweighted_rank,housing_unweighted_rank,neighborhood_unweighted_rank,environment_unweighted_rank,social_unweighted_rank,transportation_unweighted_rank,supermarket_access_pct_rank,tree_canopy_pct_rank,above_poverty_pct_rank,employed_pct_rank,bachelors_plus_pct_rank,high_school_enrollment_pct_rank,pre_school_enrollment_pct_rank,health_insurance_pct_rank,medicare_pct_rank,medicaid_pct_rank,owners_pct_rank,habitable_pct_rank,uncrowded_pct_rank,severe_cost_burden_owner_pct_rank,severe_cost_burden_renter_pct_rank,two_parent_pct_rank,vehicle_access_pct_rank,commute_pct_rank,voter_pct_rank,median_household_income_rank,park_access_ppa_rank,employment_density_rank
10001040100,0.20387779083431304,0.0114571092831962,0.000734430082256169,0.0026439482961222102,0.0026439482961222102,0.00705052878965922,0.0384841363102233,0.0233548766157462,0.00705052878965922,0.0052878965922444204,0.0148354876615746,0.0248237367802585,0.0011750881316098698,0.0239424206815511,0.0358401880141011,0.038924794359577006,0.000440658049353702,0.0145417156286722,0.00499412455934195,0.000440658049353702,0.0264394829612221,0.008960047003525259,0.07035840188014099,0.0148354876615746,0.00205640423031727,0.00411280846063455,0.00337837837837838,0.0091069330199765,2018,6808.0,63826.0,0.0,0.2775,0.8733842538190364,0.07799647473560517,0.012632197414806109,0.005875440658049354,0.0002937720329024677,0.00029377203290246665,0.029524089306698007,0.4615158636897767,0.5384841363102233,0.26527614571092833,0.0850470035252644,0.14952996474735605,0.12779083431257346,0.14174500587544067,0.1341069330199765,0.09650411280846063,0.7230157561478427,0.9260563380281691,0.13653846153846153,0.99375,0.6875,0.8969804618117229,0.05582339507739152,0.13981223039837604,0.8501161890007746,1.0,0.99147947327653,0.062470862470862476,0.14473684210526316,0.6870748299319728,0.9546862896979086,0.01934623082054704,0.96,83.9622641509434,59.24170616113744,100.0,95.28301886792453,1.0000000000000002,0.014131256734387863,5946.0,531.0,86.0,40.0,2.0,2.0,201.0,1806.0,579.0,1018.0,870.0,965.0,913.0,657.0,-0.08724729372934265,-1.4026176362283649,0.9265791130484704,0.05905093210341829,-0.3905004225064086,-1.039840319124647,0.40409061262960144,0.5691827830144068,-0.34934061089034285,0.7991707217679025,0.5039842141141107,0.43813657232180425,0.6973534587049265,0.5067345193543085,0.4917542695183466,0.3042587929032212,-0.5289930776002248,1.572297290571982,-1.181960426689847,-0.3679950777798549,-1.6867702161499598,-2.312134921576514,-1.020084578798805,-0.4158042315989121,-0.13956559471077765,-0.02218897449354625,-0.34934061089034285,0.5890758972526104,-0.4779818333944029,-1.387215160549044,1.0320257800451642,-0.1123671423485018,-0.05926560061335755,49.02912621359224,41.74757281553398,44.66019417475729,28.640776699029125,87.8640776699029,13.592233009708734,4.854368932038835,89.32038834951456,33.49514563106796,0.0,79.61165048543691,49.514563106796125,28.155339805825246,12.135922330097088,96.82539682539681,78.37837837837837,28.640776699029125,74.27184466019419,40.291262135922324,78.15533980582524,100.0,75.64102564102564,26.21359223300971,33.00970873786408,65.0485436893204,47.02970297029703,26.69902912621359,97.52475247524751,54.368932038834956,0.0,2.9126213592233015
10001040201,0.19348098620977902,0.0112829084830756,0.000626828249059758,0.00229837024655244,0.00125365649811952,0.0135812787296281,0.0355202674467196,0.0208942749686586,0.00605933974091099,0.00313414124529879,0.0114918512327622,0.0273715002089427,0.00104471374843293,0.0211032177183452,0.037818637693272004,0.0394901796907647,0.00041788549937317205,0.0077308817384036796,0.00522356874216465,0.00041788549937317205,0.0200585039699122,0.005641454241537821,0.0618470539072294,0.0104471374843293,0.0014625992478061,0.00334308399498537,0.0029251984956122,0.007939824488090259,2018,4786.0,52065.0,0.0,0.109,0.7221061429168408,0.20977852068533226,0.00501462599247806,0.00355202674467196,0.0,0.007939824488090262,0.051608859172586716,0.5108650229837025,0.4891349770162976,0.2672377768491433,0.12599247806101127,0.1671541997492687,0.12912661930631006,0.1391558712912662,0.09423318010865024,0.07709987463435017,0.7059072623332627,0.9323308270676692,0.2238037552998183,1.0,0.6781609195402298,0.9111334674714956,0.06673373574782025,0.19617706237424548,0.6352941176470588,1.0,0.9877005347593584,0.13565891472868216,0.2323943661971831,0.5381818181818182,0.9657754010695188,0.02340523175768701,0.13,77.35849056603773,81.04265402843602,100.0,81.13207547169812,5.0,1.4384488735115464,3456.0,1004.0,24.0,17.0,0.0,38.0,247.0,1279.0,603.0,800.0,618.0,666.0,451.0,369.0,-0.5813788124925963,-1.4026176362283649,-0.7137432897599977,-0.05554757202381154,-0.20031246186379514,-0.5011067587228365,0.483717755022061,0.5371756973266777,-0.07158441389376577,-0.28617973300141125,0.5039842141141107,0.2271553349330149,-0.9568161547060512,-0.27949914915735663,-0.2813132372605194,0.4290288412041836,-0.4844479942237467,-1.3339576582518178,-0.9580832164580052,-1.1009064207247994,-1.6867702161499598,-1.8999056469938107,2.1106871438628767,-0.1736185697621181,-0.27907961546006765,0.17326223120863404,-0.07158441389376577,-0.1582710975635387,-0.04482308797190093,-1.4114163750816435,-0.8076354477561687,-0.02770957650978159,-0.2272321713994626,32.5242718446602,35.43689320388349,60.19417475728155,37.37864077669903,33.49514563106796,48.54368932038835,3.3980582524271843,14.563106796116505,46.11650485436893,0.0,26.21359223300971,44.66019417475729,38.3495145631068,36.89320388349515,100.0,77.83783783783781,37.37864077669903,81.55339805825244,66.50485436893204,31.55339805825243,100.0,62.17948717948718,84.9514563106796,64.5631067961165,34.95145631067961,60.396039603960396,33.00970873786408,9.405940594059404,30.582524271844655,100.0,53.39805825242718
10001040202,0.18962536023054802,0.0103746397694524,0.00128081972462376,0.00288184438040346,0.00115273775216138,0.010566762728146,0.0347102145373039,0.0216458533461415,0.00505923791226385,0.0032660902977905896,0.0156260006404099,0.0217098943323727,0.000832532821005444,0.0174831892411143,0.0326609029779059,0.0365674031380083,0.000192122958693564,0.0140890169708614,0.00422670509125841,0.00102465577969901,0.0213896894012168,0.00723663144412424,0.0618635926993276,0.0111431316042267,0.000832532821005444,0.00441882804995197,0.00294588536663465,0.007813000320204929,2018,15615.0,71384.0,0.8202636378753579,0.1097,0.6703810438680756,0.26666666666666666,0.015818123599103426,0.0009606147934678195,0.0,0.003842459173871278,0.04233109189881524,0.5002881844380404,0.4997118155619597,0.27627281460134484,0.09855907780979828,0.12628882484790266,0.1729106628242075,0.10931796349663783,0.11104707012487992,0.10560358629522897,0.7430682709913681,0.9543978010994504,0.26335403726708073,0.9957627118644068,0.8063583815028902,0.8882887024479945,0.04332835306286634,0.10906792322721526,0.8414414414414414,0.9945945945945946,0.97009009009009,0.10197368421052633,0.1368421052631579,0.7463013698630137,0.9767567567567568,0.031837518869219164,0.09999999999999998,78.77358490566037,67.77251184834124,100.0,81.13207547169812,4.2,0.9693439183342232,10468.0,4164.0,247.0,15.0,0.0,60.0,661.0,4314.0,1539.0,1972.0,2700.0,1707.0,1734.0,1649.0,0.23029764452528464,0.7715110244117818,-0.7069288940213275,0.1933694893044448,0.4685663523690727,-0.25694251769722376,0.4297332517051392,0.9765366352331124,-0.5199185138541251,0.7553430966584288,-0.21164041942172268,-0.7560502373211532,-0.19547488348887548,0.5775454163492281,0.7992644274595314,0.5525864675631824,-0.3919087368412967,-1.4390030178478592,-1.0060569043648282,-0.6547864728452678,-1.6867702161499598,-1.8999056469938107,1.4845327993305406,-0.2533834288794329,0.2974111620662674,0.3831091230803427,-0.5199185138541251,0.03394459455518108,0.3239328752103905,-1.3118798100884668,-0.3198692951941638,0.08033886536094284,0.08485153773226582,57.76699029126213,64.5631067961165,76.6990291262136,23.78640776699029,50.0,76.2135922330097,7.766990291262134,33.49514563106796,63.592233009708735,70.38834951456309,26.69902912621359,52.9126213592233,63.592233009708735,47.57281553398058,98.41269841269842,89.72972972972973,23.78640776699029,57.76699029126213,30.097087378640776,76.2135922330097,41.58415841584159,24.35897435897436,59.708737864077655,29.12621359223301,76.2135922330097,74.75247524752477,41.74757281553398,6.435643564356437,67.96116504854369,92.96482412060301,43.203883495145625
10001040203,0.17354817052702198,0.0080563947633434,0.00134273246055723,0.0031889895938234302,0.0011748909029875802,0.0102383350117489,0.0369251426653239,0.0233299765021819,0.00537092984222894,0.00268546492111447,0.0132594830480027,0.022322927156764,0.00100704934541793,0.0169519973145351,0.0317220543806647,0.0360859348774757,0.000167841557569654,0.0127559583752937,0.00570661295736824,0.00100704934541793,0.0201409869083585,0.0058744545149379,0.0604229607250755,0.0099026518966096,0.0011748909029875802,0.0040281973816717,0.00268546492111447,0.0072171869754951296,2018,5958.0,67159.0,0.0,0.0907,0.6384692849949648,0.3531386371265525,0.0,0.0,0.0,0.0028533064786841235,0.0055387713997985906,0.4857334676065794,0.5142665323934206,0.2504196038939241,0.1327626720375965,0.09701242027526016,0.1574353810003357,0.12823094998321585,0.09785162806310843,0.13628734474655926,0.6280364372469636,0.9801324503311258,0.20232213438735172,1.0,0.7263157894736842,0.9042553191489362,0.08662613981762918,0.14285714285714285,0.7113702623906706,0.9961127308066084,0.967444120505345,0.060070671378091876,0.1774193548387097,0.6133434420015162,0.9378036929057336,0.030278884462151393,0.18,80.66037735849056,72.51184834123222,100.0,81.13207547169812,2.5,1.4435784434721262,3804.0,2104.0,0.0,0.0,0.0,17.0,33.0,1492.0,791.0,578.0,938.0,764.0,583.0,812.0,0.05278674691668443,-1.4026176362283649,-0.891891064070947,-0.5771528148206984,1.2486171938660091,-0.6337238578988649,0.483717755022061,0.7022130427999238,-0.20656975668088665,0.09818150965051607,-0.010653520401462571,-0.9037768898046248,0.7516017007274707,0.21359263394523295,0.10893348049173043,0.11430286707510258,-0.4090138079392113,-1.1588820589250832,-1.070021821573926,-0.8141150256593861,-1.6867702161499598,-1.8999056469938107,0.15395481719932555,-0.17274635679416214,0.2414170419873318,0.1840689799743733,-0.20656975668088665,0.029789086823426493,-0.578325059973537,-1.3677031775942707,-0.5249742892166764,-0.14735547043205438,-0.08733794173018873,46.11650485436893,61.165048543689316,60.67961165048544,33.00970873786408,49.02912621359224,10.194174757281553,5.339805825242718,24.757281553398062,27.66990291262136,0.0,18.446601941747574,26.21359223300971,94.6601941747573,33.00970873786408,100.0,83.7837837837838,33.00970873786408,91.26213592233009,40.77669902912621,46.11650485436893,55.44554455445543,21.15384615384616,25.242718446601938,43.68932038834952,54.368932038834956,35.148514851485146,39.32038834951456,12.871287128712874,60.67961165048544,60.30150753768844,54.368932038834956
10001040501,0.282142857142857,0.010952380952381,0.000476190476190476,0.0030952380952381,0.0035714285714285704,0.0135714285714286,0.0576190476190476,0.0338095238095238,0.008095238095238091,0.00785714285714286,0.0252380952380952,0.0464285714285714,0.00285714285714286,0.0233333333333333,0.0457142857142857,0.0619047619047619,0.000476190476190476,0.0230952380952381,0.0111904761904762,0.000714285714285714,0.0457142857142857,0.0128571428571429,0.109761904761905,0.019047619047619,0.00119047619047619,0.00380952380952381,0.006428571428571429,0.0133333333333333,2018,4200.0,50244.0,0.7756999168721099,0.1671,0.4623809523809524,0.4538095238095238,0.017380952380952382,0.0009523809523809524,0.0,0.047857142857142855,0.017619047619047618,0.4752380952380952,0.5247619047619048,0.2283333333333333,0.15666666666666668,0.08857142857142856,0.09523809523809523,0.17047619047619048,0.11714285714285715,0.14357142857142854,0.7054892601431981,0.9349164467897976,0.2604984636394674,0.978102189781022,0.0,0.9323308270676692,0.029239766081871343,0.2318295739348371,0.6782283884738527,0.996264674493063,0.9765208110992528,0.06818181818181818,0.12605042016806722,0.4705075445816186,0.9551760939167556,0.11488511488511488,0.18,82.54716981132076,62.085308056872044,100.0,81.13207547169812,3.0,1.9818975661665448,1942.0,1906.0,73.0,4.0,0.0,201.0,74.0,959.0,658.0,372.0,400.0,716.0,492.0,603.0,-0.6578870597222438,0.6533938013822572,-0.1481484434503717,-0.05834749270779874,-0.12193894987689248,-0.27457144302463604,0.2047321466397204,-1.78703114030534,0.34441895170487424,-0.06926193645748724,0.009462388911919379,-0.39701780806883613,0.5682765245720129,0.6743401438941041,-0.6326848788857536,0.3097698653413625,0.5194884631186445,-1.1588820589250832,-1.1339867387830234,-0.4635922094683258,-1.6867702161499598,-1.8999056469938107,0.5453012825320358,-0.08121257846166563,-0.279391167435645,-0.6189568122300853,0.34441895170487424,0.15715986257034262,0.2423335155005639,-1.29606370284878,-0.8957834689054185,0.4146291642300035,-0.2505822117054969,29.611650485436893,34.95145631067961,14.563106796116505,58.7378640776699,59.708737864077655,68.93203883495146,8.737864077669903,11.165048543689322,95.14563106796116,64.5631067961165,47.57281553398058,44.174757281553404,41.262135922330096,46.60194174757282,90.4761904761905,0.0,58.7378640776699,32.5242718446602,76.6990291262136,38.83495145631068,57.42574257425742,34.615384615384606,32.03883495145632,25.242718446601938,25.242718446601938,48.514851485148505,85.43689320388349,12.871287128712874,24.271844660194176,65.32663316582915,66.99029126213593
10001040502,0.222927241962775,0.00803722504230118,0.0021150592216582103,0.00465313028764805,0.0012690355329949199,0.0114213197969543,0.0482233502538071,0.0241116751269036,0.00972927241962775,0.00465313028764805,0.0194585448392555,0.0346869712351946,0.000846023688663283,0.016497461928933997,0.032994923857867994,0.050761421319797,0.000846023688663283,0.0156514382402707,0.00930626057529611,0.000846023688663283,0.0406091370558376,0.0101522842639594,0.08375634517766499,0.0131133671742809,0.000423011844331641,0.00549915397631134,0.00549915397631134,0.0071912013536379,2018,2364.0,49250.0,0.0,0.2643,0.5943316412859561,0.33121827411167515,0.020727580372250424,0.0,0.0,0.0,0.053722504230118436,0.465736040609137,0.5342639593908629,0.2487309644670051,0.1319796954314721,0.1319796954314721,0.0727580372250423,0.11548223350253807,0.08079526226734349,0.2182741116751269,0.6463362981787378,0.9526627218934912,0.20862884160756498,1.0,0.6666666666666666,0.8843830888697153,0.056945642795513375,0.2786885245901639,0.7524644030668127,1.0,0.9671412924424972,0.06376811594202897,0.245,0.2638623326959847,0.9539978094194962,0.05595116988809766,0.67,91.50943396226415,48.341232227488156,100.0,95.28301886792453,1.0000000000000002,0.02237121257830621,1405.0,783.0,49.00000000000002,0.0,0.0,0.0,127.0,588.0,312.0,312.0,172.00000000000009,273.0,190.99999999999997,516.0,-0.6996493868756045,-1.4026176362283649,0.7980790791192607,-0.4545741289792559,0.4159738346903632,-0.5947893091371457,0.483717755022061,0.4977823610956266,-0.5965671353921209,0.30580237463028925,0.5039842141141107,-0.9206840289722368,0.6680334097803249,-0.3925638724811695,-1.7056076229584058,0.29651230044651306,-0.12727598317061226,0.5568588144769194,-1.4378200955262368,-0.0015394063073827149,-1.6867702161499598,-2.312134921576514,-1.020084578798805,-0.4144031402018396,-0.2460832270548324,0.12890360232684728,-0.5965671353921209,0.032914419414263714,-0.5097565690274372,-1.3595661598900235,-0.5743744042407433,0.0846181586379504,-0.2350949525730367,30.582524271844655,37.864077669902905,57.28155339805825,22.815533980582533,49.514563106796125,12.135922330097088,5.825242718446603,23.30097087378641,65.0485436893204,0.0,74.75728155339806,31.067961165048537,60.19417475728155,33.49514563106796,100.0,75.13513513513513,22.815533980582533,77.18446601941747,88.34951456310681,52.9126213592233,100.0,19.871794871794872,28.155339805825246,67.47572815533981,6.7961165048543695,46.03960396039604,69.41747572815535,61.881188118811885,21.84466019417476,0.0,5.339805825242718
10001040700,0.30675873613726695,0.0144381669805399,0.00313873195229127,0.0125549278091651,0.00313873195229127,0.0177861477296506,0.0631931366394643,0.0357815442561205,0.0127641766059845,0.00878844946641557,0.0301318267419962,0.04101276417660601,0.00125549278091651,0.0276208411801632,0.0560786775476041,0.0617283950617284,0.000209248796819418,0.0274115923833438,0.00941619585687382,0.0014647415777359301,0.0458254865034526,0.0138104205900816,0.12534002929483198,0.0211341284787612,0.0010462439840970901,0.00544046871730488,0.005649717514124289,0.0150659133709981,2018,4779.0,59500.0,0.7536343457368603,0.3101,0.4898514333542582,0.4099183929692404,0.035781544256120526,0.02762084118016321,0.0,0.0,0.03682778824021762,0.4544883866917766,0.5455116133082235,0.19878635697844735,0.1429169282276627,0.1374764595103578,0.08432726511822558,0.1807909604519774,0.10211341284787613,0.15358861686545305,0.6407558514064848,0.9253246753246752,0.33910614525139665,1.0,0.3383084577114428,0.9528795811518324,0.0781600598354525,0.2397157816005984,0.7057860262008734,0.9833515283842796,0.9639737991266376,0.04402985074626865,0.24742268041237114,0.4839424141749723,0.8640829694323144,0.0062926061877294215,0.96,90.56603773584905,40.28436018957346,100.0,93.39622641509436,4.0,1.8976977736142695,2341.0,1959.0,171.0,132.0,0.0,0.0,176.0,950.0,683.0,657.0,403.0,864.0,488.0,734.0,-0.2690016471150952,0.5949084700773116,1.2439352574493965,-0.491953857399114,-0.41267807499407777,0.21071422283855046,0.483717755022061,-0.6275735425794763,0.747693275522727,0.06996814567938046,-1.7001162196882738,-1.0975277791851858,1.114150467155434,-0.4142938144112257,-0.5629296834044429,-0.7151719141151253,-0.6722487226811605,1.572297290571982,-1.4058376369216885,0.2693191334766184,-1.6867702161499598,-2.2571710182988207,1.3279942131974565,-0.09552959753493596,-0.39121119316942893,0.02228614509371169,0.747693275522727,-0.4055638400899742,0.7678270857973071,-1.2701149344734626,0.5046838035837694,-0.6937103183981429,-0.1664515929199889,38.3495145631068,28.155339805825246,49.514563106796125,81.55339805825244,20.38834951456311,96.11650485436894,9.223300970873787,74.27184466019419,0.9708737864077668,62.62135922330097,85.92233009708738,29.12621359223301,27.184466019417478,63.592233009708735,100.0,30.81081081081081,81.55339805825244,87.8640776699029,79.12621359223301,45.14563106796117,11.881188118811885,15.384615384615385,12.621359223300969,68.93203883495146,26.69902912621359,14.356435643564355,8.25242718446602,97.52475247524751,45.14563106796117,86.4321608040201,64.5631067961165
10001040900,0.17340837143862098,0.00703482237073514,0.0028139289482940603,0.00668308125219838,0.0021104467112205397,0.0123109391487865,0.0415054519873373,0.0119591980302497,0.010200492437566,0.00527611677805135,0.0211044671122054,0.0253253605346465,0.000703482237073514,0.0172353148083011,0.0291945128385508,0.0393950052761168,0.0010552233556102698,0.0137179036229335,0.00879352796341892,0.0010552233556102698,0.02602884277172,0.00809004572634541,0.07386563489271901,0.0151248680970805,0.0021104467112205397,0.0038691523039043295,0.00316567006683081,0.00703482237073514,2018,2843.0,32500.000000000004,0.7324145267416621,0.1449,0.6232852620471333,0.3369679915582132,0.0045726345409778405,0.0017587055926837848,0.0,0.0014069644741470273,0.03200844178684488,0.4245515300738657,0.5754484699261344,0.28139289482940555,0.25360534646500177,0.046781568765388665,0.08476960956735842,0.09180443193809357,0.09180443193809357,0.14984171649665845,0.5962800875273523,0.96875,0.33927298645759085,1.0,0.6885245901639344,0.9498525073746312,0.07787610619469026,0.1657817109144543,0.3687150837988827,0.9795158286778398,0.9916201117318436,0.10588235294117647,0.3461538461538461,0.8687782805429864,0.7430167597765364,0.18218623481781376,0.9,94.33962264150944,36.01895734597156,100.0,93.39622641509436,5.0,4.59179880123612,1772.0,958.0,13.0,5.0,0.0,4.0,91.0,800.0,721.0,133.0,241.0,261.0,261.0,426.0,-1.4033908152647294,0.5386648253260284,-0.3642621368767692,-0.7898676343629799,0.9036002527311292,0.2117442194518723,0.483717755022061,0.5726942791743469,0.6882862124157529,-1.6330230708197235,-2.207926641091547,0.4459885326518583,-0.28381718586843274,-1.2998511860288948,1.4351768780466967,-2.0773583256465398,1.258077599992511,1.3622065713799,-1.5337674713398834,0.4127148310093251,-1.6867702161499598,-2.2571710182988207,2.1106871438628767,0.3625653054166627,-0.4298860656321933,0.42271875121609337,0.6882862124157529,-0.995725910231348,0.6619137844321996,-1.2662484686948348,1.3986917247132986,-0.4096403628270148,-0.008651569423182126,53.39805825242718,26.21359223300971,80.58252427184465,75.24271844660194,4.854368932038835,93.20388349514565,9.70873786407767,98.54368932038835,6.7961165048543695,61.165048543689316,39.805825242718456,16.990291262135926,83.49514563106796,64.07766990291263,100.0,78.9189189189189,75.24271844660194,87.37864077669903,52.42718446601942,7.766990291262134,6.930693069306929,76.28205128205127,65.0485436893204,88.83495145631069,94.1747572815534,4.455445544554455,91.26213592233009,86.13861386138613,4.368932038834951,100.0,89.32038834951456
10001041000,0.26968043647700696,0.008417770849571321,0.005300077942322679,0.009664848012470771,0.0018706157443491801,0.0202650038971161,0.0427123928293063,0.036477007014809,0.00576773187840998,0.00467653936087295,0.0160561184723305,0.0336710833982853,0.000935307872174591,0.0249415432579891,0.0637568199532346,0.0472330475448168,0.00031176929072486404,0.0118472330475448,0.009353078721745909,0.00171473109898675,0.0316445830085737,0.00498830865159782,0.0897895557287607,0.0140296180826189,0.00155884645362432,0.00311769290724864,0.00311769290724864,0.0168355416991426,2018,6415.0,47455.0,0.5670660544339864,0.08800000000000001,0.4796570537802026,0.4427123928293063,0.012314886983632109,0.0007794232268121589,0.0,0.0028059236165237714,0.06173031956352298,0.5429462197973499,0.45705378020265,0.2579890880748246,0.20155884645362432,0.15806703039750586,0.10911925175370224,0.1268901013250195,0.07965705378020264,0.06671862821512081,0.5450968046592162,0.9276693455797932,0.23363636363636364,0.8794326241134752,0.6,0.8668533604887984,0.030295315682281058,0.17209775967413446,0.4753739511127326,1.0,0.9992703392922292,0.0931174089068826,0.28,0.28970099667774085,0.8697555636628967,0.05308376802700215,0.54,24.05660377358491,36.01895734597156,100.0,97.64150943396227,2.0,0.6950199419771905,3077.0,2839.9999999999995,79.0,5.0,0.0,18.0,396.0,1655.0,1293.0,1014.0,700.0,814.0,511.0,428.0,-0.7750652593507376,0.10040469036706948,-0.9181751619201036,-1.1327106523737536,-0.3416080561617857,-0.4404050081314769,-1.0523519421941845,0.26930101095552994,-0.9405923415224092,-1.0941480408249784,0.5039842141141107,0.8731070130562472,0.0046914147435559855,-0.7064921824919796,-1.5714506782631663,-0.6513462537512557,-0.15874398649321494,0.10166225622740856,0.8489256946990017,0.4127148310093251,-1.6867702161499598,-2.380839800673632,-0.2373916481333847,-0.3000284559360093,-0.7497946559620923,-0.4078186464567105,-0.9405923415224092,-0.08377151628060885,-0.338797643905607,-0.7014923727788163,-0.7348942110178791,-0.4050451201222353,-0.5691130960975304,11.165048543689322,13.592233009708734,22.815533980582533,14.563106796116505,39.32038834951456,20.38834951456311,15.533980582524268,17.475728155339805,7.766990291262134,44.174757281553404,16.990291262135926,10.194174757281553,30.582524271844655,40.291262135922324,39.68253968253968,67.02702702702703,14.563106796116505,34.46601941747573,57.28155339805825,15.048543689320388,100.0,99.35897435897436,50.485436893203875,75.72815533980581,7.766990291262134,14.85148514851485,66.99029126213593,48.514851485148505,17.96116504854369,43.71859296482411,37.864077669902905
10001041100,0.0180365885081165,0.0015459933006957,,0.000772996650347848,,0.0010306622004638,0.00386498325173924,0.00128832775057975,0.000515331100231899,0.00025766555011595,0.0015459933006957,0.00309198660139139,,0.000772996650347848,0.0041226488018551895,0.00334965215150734,,0.000772996650347848,0.000515331100231899,,0.00283432105127544,0.000772996650347848,0.0048956454522030395,0.00025766555011595,,0.000772996650347848,,0.00180365885081165,2018,3881.0,41491.0,0.6833436395212303,0.06920000000000001,0.8237567637206905,0.07729966503478483,0.006956969853130636,0.009791290904406079,0.0015459933006956971,0.027054882762174697,0.05359443442411749,0.5328523576397836,0.4671476423602165,0.3545477969595465,0.3939706261272868,0.17263591857768618,0.0489564545220304,0.020613244009275958,0.0020613244009276143,0.007214635403246586,0.5487839771101574,0.8857142857142857,0.22301729278473464,1.0,0.5988372093023255,0.9908450704225352,0.03380281690140845,0.07183098591549296,0.01042502004811552,1.0,1.0,-1.3877787807814454e-17,0.20869565217391306,0.8690476190476191,0.9871692060946272,0.029166666666666667,0.13,98.58490566037734,67.77251184834124,100.0,99.05660377358492,2.333333333333333,0.2559122883731573,3197.0,300.0,27.0,38.0,6.0,105.0,208.0,1376.0,1529.0,670.0,190.00000000000009,80.0,8.0,28.0,-1.0256392222709012,0.4086012489552421,-1.1011903617586742,-1.1080127185920612,-1.613320736545296,-0.5059619964996352,0.483717755022061,0.2653158711275049,1.4927752864002723,-3.4432201384707763,0.5039842141141107,0.9138445689333696,2.1092970647302662,-0.06693637079293799,1.4365753106783457,0.6697429973590197,-0.4212197263905579,-1.3339576582518178,-1.6776885350603528,-0.6547864728452678,-1.6867702161499598,-2.4220627281319023,0.02350599542175559,-0.3746926856366329,-1.2489908924694195,0.08102387654997688,1.4927752864002723,0.0033938677028064355,-0.2609439507545774,-1.610326988046871,0.05130882621326383,0.12426163548423087,-0.385853212504471,18.932038834951452,7.281553398058253,53.39805825242718,99.02912621359225,46.60194174757282,29.12621359223301,0.4854368932038834,51.45631067961165,72.81553398058253,56.31067961165049,13.106796116504855,10.679611650485436,5.339805825242718,36.40776699029127,100.0,66.48648648648647,99.02912621359225,39.805825242718456,15.533980582524268,0.0,100.0,100.0,0.0,54.85436893203883,94.6601941747573,88.11881188118811,38.3495145631068,9.405940594059404,8.737864077669903,57.286432160804004,27.184466019417478
